published_date,open,high,low,close,per_change,traded_quantity,traded_amount,status,DT_Row_Index
2025-07-09,309.00,309.00,309.00,309.00,0.00,14256.00,4405104.00,0,1
2025-06-29,309.0,309.0,309.0,309.0,0.0,52000.0,16068000.0,0,1
2025-06-23,309.0,309.0,309.0,309.0,0.0,6039.0,1866051.0,0,1
2025-05-28,309.0,309.0,309.0,309.0,0.0,90584.0,27990456.0,0,1
2025-05-19,309.0,309.0,309.0,309.0,0.0,1000.0,309000.0,0,1
2025-05-15,309.0,309.0,309.0,309.0,0.0,245806.0,75954054.0,0,2
2025-05-13,309.0,309.0,309.0,309.0,0.0,6039.0,1866051.0,0,3
2025-05-11,309.0,309.0,309.0,309.0,0.0,6039.0,1866051.0,0,4
2025-02-11,270.0,270.0,270.0,270.0,0.0,18000.0,4860000.0,0,5
2025-01-19,270.0,270.0,270.0,270.0,0.0,30000.0,8100000.0,0,6
2025-01-07,270.0,270.0,270.0,270.0,0.0,21960.0,5929200.0,0,7
2025-01-02,270.0,270.0,270.0,270.0,0.0,2415600.0,461742820.0,0,8
2025-01-01,270.0,270.0,270.0,270.0,0.0,100000.0,27000000.0,0,9
2024-12-18,270.0,270.0,270.0,270.0,0.0,2000.0,540000.0,0,10
2024-12-11,270.0,270.0,270.0,270.0,0.0,162950.0,29412475.0,0,1
2024-12-10,270.0,270.0,270.0,270.0,-1.82,27375.0,7391250.0,-1,2
2024-10-27,275.0,275.0,275.0,275.0,-0.15,10980.0,3019500.0,-1,3
2024-09-23,275.4,275.4,275.4,275.4,0.0,2000.0,550800.0,0,4
2024-09-04,275.4,275.4,275.4,275.4,0.0,42920.0,11820168.0,0,5
2024-08-29,275.4,275.4,275.4,275.4,0.0,60000.0,16524000.0,0,6
2024-08-08,275.4,275.4,275.4,275.4,0.0,2000.0,550800.0,0,7
2024-08-06,275.4,275.4,275.4,275.4,0.0,10800.0,2974320.0,0,8
2024-07-31,275.4,275.4,275.4,275.4,0.0,100000.0,27540000.0,0,9
2024-07-29,275.4,275.4,275.4,275.4,0.0,45000.0,12393000.0,0,10
2024-07-14,275.4,275.4,275.4,275.4,0.0,37500.0,10327500.0,0,11
2024-07-04,275.4,275.4,275.4,275.4,0.0,100000.0,27540000.0,0,12
2024-07-01,275.4,275.4,275.4,275.4,0.0,54900.0,15119460.0,0,13
2024-06-23,275.4,275.4,275.4,275.4,0.0,57645.0,15875433.0,0,14
2024-06-06,275.4,275.4,275.4,275.4,0.0,60000.0,16524000.0,0,15
2024-06-05,275.4,275.4,275.4,275.4,0.0,40000.0,11016000.0,0,16
2024-05-12,275.4,275.4,275.4,275.4,-1.99,21960.0,6047784.0,-1,17
2024-04-15,281.0,281.0,281.0,281.0,0.0,71370.0,20054970.0,0,18
2024-04-09,281.0,281.0,281.0,281.0,0.0,25000.0,7025000.0,0,19
2024-02-04,296.0,296.0,296.0,296.0,0.0,1000.0,296000.0,0,20
